database,FW10100G,FW10100GP,FW10100H,FW10100HP,FW10100Q,FW10100QP
splice,3.984231703130825e-06,4.550276467606635e-06,6.068934755001762e-06,6.440885422797286e-06,5.450394002587542e-06,6.249537915766227e-06
tae,0.01243994603471248,0.012073269249823321,0.01187016093102913,0.01179984462026946,0.012105132220316669,0.01177374069239277
texture,1.329892296363381e-05,1.309452253593357e-05,1.5895030226232558e-05,1.577084249917443e-05,1.36547366982249e-05,1.3227560064366592e-05
thoraric-surgery,0.002646515033899479,0.002587626611149127,0.002902558826999015,0.002851246347922455,0.0027514131011769968,0.0026766791401252174
thyroid,0.002221383815972314,0.0021912511703201395,0.002214141957912523,0.002192351264739746,0.0022248053262903947,0.0022140837016916505
tic-tac-toe,4.648060502396908e-08,3.006790726345885e-08,3.801098809367417e-08,3.592715800387233e-08,3.8436295333618345e-08,2.9916037914004034e-08
titanic,0.0004132549788815358,7.49250562125274e-08,0.00032271160263233075,0.0,0.00038776461555776434,2.5402799701262285e-07
transfusion,0.007575577616822237,0.007305416501638191,0.008623879128553186,0.008291863354852585,0.008084114388119241,0.007744282630127139
twonorm,4.137312007721153e-09,4.86572431318556e-09,4.794939869107717e-09,5.043396357663225e-09,4.85104545258776e-09,4.917274972374039e-09
urban_land,1.410456462469247e-06,1.452630833110514e-06,2.2011815131953863e-06,2.1830742054740808e-06,1.6318079024990852e-06,1.706788450866904e-06
vehicle,3.437750685572476e-05,3.334581616606019e-05,4.5157135208868036e-05,4.632747176462028e-05,3.6224494576197424e-05,3.6190458763318e-05
voice_rehabilitation,8.5233711471277e-07,8.952790947365211e-07,7.882724156571107e-07,8.176568676320948e-07,7.952967929190023e-07,8.097067544484595e-07
vowel,0.000743732800134095,0.0007427637825579592,0.0008269873746202515,0.0008301722223590739,0.0007330950163227325,0.0007250583149078808
vsa,0.0009822160536681567,0.0009729584539779089,0.0009441813402951274,0.0009472958563595353,0.001094701261444957,0.00108328503306661
waveform-1,1.2689521811256791e-05,1.3520884879474098e-05,2.650688519483231e-05,2.916843937948366e-05,1.7453487230633705e-05,1.7784671769785948e-05
waveform-2,2.3691020537470525e-05,2.465097236264925e-05,4.114395723055369e-05,4.250885234574191e-05,3.077792250792149e-05,3.216154501498073e-05
wdbc,1.1902428293748264e-05,1.0305110894070021e-05,1.0070273849783756e-05,1.0458001833266661e-05,8.521281169665006e-06,1.0943221321113732e-05
wholesale,0.00038418435948138713,0.0003885444756978561,0.0006885731919221587,0.0006789883266267367,0.000497140827166053,0.0005103544893734649
wine,2.0332044370861472e-06,2.554677987549159e-06,1.9462773490595593e-05,1.8688600337331565e-05,4.950942821703702e-06,4.503621351419393e-06
wisconsin,2.390681569793746e-05,2.6125081931867132e-05,3.971638646339699e-05,3.949463520975283e-05,2.719372191192911e-05,2.8472565888100974e-05
yeast,0.00550199605042787,0.005449556802135244,0.005554778322384284,0.005550078729723117,0.005639005081002185,0.005619391482591528
zoo,6.014181053709529e-05,7.308379498474678e-05,7.293650026636045e-05,8.17495570729355e-05,4.096770806050665e-05,4.842927315043307e-05
